neighborhood_name,price_per_m2
BARRIO EQUIPETROL,1006.548176793041
BARRIO PRIMAVERA,654.3584949754617
BARRIO URBARI,982.3555166190914
BARRIO VICTORIA,1036.3104362572622
Barrio 25 De Junio,452.5862
Barrio 27 de mayo,517.2413870967741
Barrio 5 de Noviembre,527.054376559011
Barrio Aeronautico,697.2834217326262
Barrio California,619.2496229260935
Barrio Casa Nova II,362.77721764204466
Barrio Chino,796.2354489792564
Barrio El Condado,483.1267525145323
Barrio Flamingo,611.799207636033
Barrio Florida,574.7603833865815
Barrio FÃ© y AlegrÃ­a,935.1321679578626
Barrio Guadalupe,554.8355156438566
Barrio Guaracachi,620.264448076066
Barrio Guaracal,998.7170030581041
Barrio Irma Suarez,982.1016519344057
Barrio LAB,360.7382851731602
Barrio La Purisima,363.0895783171581
Barrio Lindo,816.0055651966985
Barrio Los Penocos,697.4271397982623
Barrio Madre India,367.6470588235294
Barrio Militar Nuevo Amanecer,516.0
Barrio Palma Real,584.0696465696466
Barrio Panamericano,1015.0225371170662
Barrio Polanco,702.3493572285932
Barrio Saguapac sur,579.7342665893804
Barrio San Francisco,466.4535690516165
Barrio San Jorge,263.6026149435184
Barrio Santa Isabel.,823.2612941665274
Barrio Santa Rosa,864.0666123120635
Barrio SoberanÃ­a Nacional,669.988517696712
Barrio Transportista,764.1556821219954
Barrio el Manchon,1022.9761299523669
Barrio el periodista,765.2366155435705
Barrio las Pampita,477.2017085909574
Barrio las americas,609.5238095238095
Barrio los Olivos,581.8181818181819
Barrio Ã‘uflo de Chavez,194.30035015696694
Desconocido,803.9074408710966
