,characteristics_bedrooms,characteristics_bathrooms,characteristics_garages,characteristics_area,location_lat,location_lng,price,neighborhood_name,district_name,extras_Terreno,price_per_m2,built_area_ratio,district_avg_price,neighborhood_avg_price
8,5,5,3,387.0,-17.802959,-63.183067,280000.0,Barrio Aeronautico,Distrito Municipal 4Â ,280.0,723.5142118863049,1.3821428571428571,302332.25692307693,267500.0
9,5,4,2,266.0,-17.703842,-63.168728,160000.0,Barrio Santa Isabel.,Distrito 5,266.0,601.5037593984962,1.0,254362.07609756096,254362.07609756096
14,4,5,4,300.0,-17.715044,-63.159649,375000.0,Barrio Santa Isabel.,Distrito 5,464.0,1250.0,0.646551724137931,254362.07609756096,254362.07609756096
15,5,5,3,364.0,-17.754295,-63.18066,290000.0,Barrio el Manchon,Distrito Municipal 1,347.0,796.7032967032967,1.0489913544668588,326457.26420000003,348191.09192307695
31,4,4,2,385.0,-17.769739,-63.158424,275000.0,Barrio Chino,Distrito 2,320.0,714.2857142857143,1.203125,262300.65133333334,262300.65133333334
34,3,5,4,450.0,-17.712879,-63.16214,450000.0,Barrio Santa Isabel.,Distrito 5,427.0,1000.0,1.053864168618267,254362.07609756096,254362.07609756096
42,4,5,4,384.0,-17.740711,-63.163136,500000.0,Barrio Santa Isabel.,Distrito 5,480.0,1302.0833333333333,0.8,254362.07609756096,254362.07609756096
46,7,7,2,600.0,-17.759588,-63.169617,465000.0,Barrio Chino,Distrito 2,756.0,775.0,0.7936507936507936,262300.65133333334,262300.65133333334
47,7,4,5,580.0,-17.808952,-63.153252,418998.0,Barrio Polanco,Distrito Municipal 3,544.0,722.4103448275862,1.0661764705882353,242325.77823529413,273653.823
49,5,4,2,353.0,-17.755962,-63.165638,299000.0,Barrio Chino,Distrito 2,267.0,847.0254957507082,1.3220973782771535,262300.65133333334,262300.65133333334
50,5,4,2,385.0,-17.792887,-63.197533,260000.0,BARRIO URBARI,Distrito Municipal 4Â ,243.0,675.3246753246754,1.5843621399176955,302332.25692307693,320495.3111764706
56,4,4,3,300.0,-17.774776,-63.158028,285000.0,Barrio Chino,Distrito 2,384.0,950.0,0.78125,262300.65133333334,262300.65133333334
61,4,5,3,500.0,-17.68981,-63.161343,280000.0,Barrio Santa Isabel.,Distrito 5,320.0,560.0,1.5625,254362.07609756096,254362.07609756096
64,4,6,4,410.0,-17.702757,-63.153378,335000.0,Barrio Santa Isabel.,Distrito 5,450.0,817.0731707317074,0.9111111111111111,254362.07609756096,254362.07609756096
65,4,5,2,363.0,-17.766132,-63.201496,495000.0,BARRIO EQUIPETROL,Distrito Municipal 1,280.0,1363.6363636363637,1.2964285714285715,326457.26420000003,335141.1233333333
67,4,3,2,480.0,-17.712418,-63.167095,295000.0,Barrio Santa Isabel.,Distrito 5,408.0,614.5833333333334,1.1764705882352942,254362.07609756096,254362.07609756096
69,4,3,2,307.0,-17.817822,-63.184364,255000.0,BARRIO VICTORIA,Distrito Municipal 4Â ,301.0,830.6188925081433,1.0199335548172757,302332.25692307693,258439.65500000003
70,3,3,2,228.0,-17.739101,-63.178337,285000.0,Barrio Santa Isabel.,Distrito 5,224.0,1250.0,1.0178571428571428,254362.07609756096,254362.07609756096
71,3,4,2,207.0,-17.740124,-63.187992,160000.0,Barrio Santa Isabel.,Distrito 5,232.0,772.9468599033817,0.8922413793103449,254362.07609756096,254362.07609756096
72,4,7,2,524.0,-17.792269,-63.168575,327075.0,Barrio Lindo,Distrito 11,384.0,624.1889312977099,1.3645833333333333,301114.7905882353,289717.63363636367
80,6,6,2,432.0,-17.747164,-63.156128,239000.0,Barrio Santa Isabel.,Distrito 5,453.0,553.2407407407408,0.9536423841059603,254362.07609756096,254362.07609756096
83,4,4,3,337.0,-17.702665,-63.153355,285000.0,Barrio Santa Isabel.,Distrito 5,770.0,845.6973293768546,0.43766233766233764,254362.07609756096,254362.07609756096
85,4,4,2,420.0,-17.797323,-63.212589,270000.0,BARRIO URBARI,Distrito Municipal 4Â ,240.0,642.8571428571429,1.75,302332.25692307693,320495.3111764706
89,4,2,4,280.0,-17.842651,-63.178833,180000.0,Barrio Transportista,Distrito 9Â ,582.0,642.8571428571429,0.48109965635738833,181665.38944444444,185000.0
92,4,5,1,386.0,-17.769693,-63.109882,213000.0,Barrio las Pampita,Distrito 6,450.0,551.8134715025907,0.8577777777777778,116304.09782608696,126611.11111111111
103,3,5,2,348.0,-17.786076,-63.21619,250000.0,Barrio Irma Suarez,Distrito Municipal 1,210.0,718.3908045977012,1.6571428571428573,326457.26420000003,322922.41375
105,4,4,2,230.0,-17.698566,-63.158756,135000.0,Barrio Santa Isabel.,Distrito 5,301.0,586.9565217391304,0.7641196013289037,254362.07609756096,254362.07609756096
109,3,5,2,298.0,-17.820229,-63.222076,225000.0,Barrio el periodista,Distrito 10,301.0,755.0335570469799,0.9900332225913622,206384.339375,213400.65714285715
110,4,3,4,236.0,-17.70248,-63.165207,175000.0,Barrio Santa Isabel.,Distrito 5,229.0,741.5254237288135,1.0305676855895196,254362.07609756096,254362.07609756096
111,4,7,5,500.0,-17.738491,-63.165871,500000.0,Barrio Santa Isabel.,Distrito 5,445.0,1000.0,1.1235955056179776,254362.07609756096,254362.07609756096
113,4,4,4,387.0,-17.777121,-63.148037,235000.0,Barrio Chino,Distrito 2,408.0,607.235142118863,0.9485294117647058,262300.65133333334,262300.65133333334
115,4,3,4,247.0,-17.702164,-63.17841,145000.0,Barrio Santa Isabel.,Distrito 5,303.0,587.0445344129555,0.8151815181518152,254362.07609756096,254362.07609756096
117,4,3,2,290.0,-17.703453,-63.170101,245000.0,Barrio Santa Isabel.,Distrito 5,290.0,844.8275862068965,1.0,254362.07609756096,254362.07609756096
118,8,3,5,232.0,-17.8125,-63.143879,105000.0,Barrio San Francisco,Distrito 8,425.0,452.58620689655174,0.5458823529411765,111655.89125,121443.965
121,4,6,2,397.0,-17.769041,-63.154781,295000.0,Barrio Chino,Distrito 2,330.0,743.0730478589421,1.2030303030303031,262300.65133333334,262300.65133333334
123,4,6,4,409.0,-17.757698,-63.198536,580000.0,Barrio el Manchon,Distrito Municipal 1,562.0,1418.0929095354522,0.7277580071174378,326457.26420000003,348191.09192307695
126,5,6,2,368.0,-17.807301,-63.210766,620000.0,BARRIO URBARI,Distrito Municipal 4Â ,669.0,1684.7826086956522,0.5500747384155455,302332.25692307693,320495.3111764706
129,4,5,2,313.0,-17.745337,-63.175457,580000.0,Barrio el Manchon,Distrito Municipal 1,550.0,1853.035143769968,0.5690909090909091,326457.26420000003,348191.09192307695
133,5,7,2,480.0,-17.748144,-63.175568,590000.0,Barrio el Manchon,Distrito Municipal 1,453.0,1229.1666666666667,1.0596026490066226,326457.26420000003,348191.09192307695
140,3,4,2,367.0,-17.721985,-63.16143,239000.0,Barrio Santa Isabel.,Distrito 5,289.0,651.2261580381471,1.2698961937716262,254362.07609756096,254362.07609756096
145,3,5,1,372.0,-17.715965,-63.167782,290000.0,Barrio Santa Isabel.,Distrito 5,369.0,779.5698924731183,1.008130081300813,254362.07609756096,254362.07609756096
147,3,4,3,457.0,-17.844065,-63.191402,278000.0,Barrio Saguapac sur,Distrito 9Â ,205.0,608.3150984682713,2.229268292682927,181665.38944444444,193214.79875000002
149,6,5,2,464.0,-17.796209,-63.206238,271120.0,BARRIO URBARI,Distrito Municipal 4Â ,599.0,584.3103448275862,0.7746243739565943,302332.25692307693,320495.3111764706
150,3,4,2,383.0,-17.792549,-63.195148,365000.0,BARRIO URBARI,Distrito Municipal 4Â ,586.0,953.0026109660574,0.6535836177474402,302332.25692307693,320495.3111764706
153,5,3,4,225.0,-17.71949,-63.159973,165000.0,Barrio Santa Isabel.,Distrito 5,548.0,733.3333333333334,0.41058394160583944,254362.07609756096,254362.07609756096
157,3,4,2,207.0,-17.740124,-63.188122,160000.0,Barrio Santa Isabel.,Distrito 5,232.0,772.9468599033817,0.8922413793103449,254362.07609756096,254362.07609756096
162,3,4,2,210.0,-17.709669,-63.167912,135000.0,Barrio Santa Isabel.,Distrito 5,233.0,642.8571428571429,0.9012875536480687,254362.07609756096,254362.07609756096
