,characteristics_bedrooms,characteristics_bathrooms,characteristics_garages,characteristics_area,location_lat,location_lng,price,neighborhood_name,district_name,extras_Terreno
5,3,4,2,220.0,-17.749405,-63.234207,165000.0,Desconocido,Desconocido,230.0
7,3,3,2,231.0,-17.776133,-63.2509,242950.0,Desconocido,Desconocido,426.0
8,5,5,3,387.0,-17.802959,-63.183067,280000.0,Barrio Aeronautico,Distrito Municipal 4Â ,280.0
9,5,4,2,266.0,-17.703842,-63.168728,160000.0,Barrio Santa Isabel.,Distrito 5,266.0
11,5,6,2,438.0,-17.774204,-63.227993,495000.0,Desconocido,Desconocido,700.0
12,6,2,2,400.0,-17.76453,-63.07288,290000.0,Desconocido,Desconocido,387.0
14,4,5,4,300.0,-17.715044,-63.159649,375000.0,Barrio Santa Isabel.,Distrito 5,464.0
15,5,5,3,364.0,-17.754295,-63.18066,290000.0,Barrio el Manchon,Distrito Municipal 1,347.0
24,4,4,4,415.0,-17.755156,-63.245052,259000.0,Desconocido,Desconocido,436.0
27,4,3,2,220.0,-17.648388,-63.181431,79500.0,Desconocido,Desconocido,255.0
31,4,4,2,385.0,-17.769739,-63.158424,275000.0,Barrio Chino,Distrito 2,320.0
34,3,5,4,450.0,-17.712879,-63.16214,450000.0,Barrio Santa Isabel.,Distrito 5,427.0
38,4,4,4,325.0,-17.763666,-63.238861,239000.0,Desconocido,Desconocido,364.0
39,3,4,2,314.0,-17.76338,-63.236912,268000.0,Desconocido,Desconocido,450.0
41,4,5,2,334.0,-17.755268,-63.236717,274000.0,Desconocido,Desconocido,595.0
42,4,5,4,384.0,-17.740711,-63.163136,500000.0,Barrio Santa Isabel.,Distrito 5,480.0
46,7,7,2,600.0,-17.759588,-63.169617,465000.0,Barrio Chino,Distrito 2,756.0
47,7,4,5,580.0,-17.808952,-63.153252,418998.0,Barrio Polanco,Distrito Municipal 3,544.0
49,5,4,2,353.0,-17.755962,-63.165638,299000.0,Barrio Chino,Distrito 2,267.0
50,5,4,2,385.0,-17.792887,-63.197533,260000.0,BARRIO URBARI,Distrito Municipal 4Â ,243.0
56,4,4,3,300.0,-17.774776,-63.158028,285000.0,Barrio Chino,Distrito 2,384.0
57,4,5,4,360.0,-17.755239,-63.244968,245000.0,Desconocido,Desconocido,430.0
61,4,5,3,500.0,-17.68981,-63.161343,280000.0,Barrio Santa Isabel.,Distrito 5,320.0
64,4,6,4,410.0,-17.702757,-63.153378,335000.0,Barrio Santa Isabel.,Distrito 5,450.0
65,4,5,2,363.0,-17.766132,-63.201496,495000.0,BARRIO EQUIPETROL,Distrito Municipal 1,280.0
67,4,3,2,480.0,-17.712418,-63.167095,295000.0,Barrio Santa Isabel.,Distrito 5,408.0
69,4,3,2,307.0,-17.817822,-63.184364,255000.0,BARRIO VICTORIA,Distrito Municipal 4Â ,301.0
