_id,title,price,currency,location_address,location_city,location_state,location_lat,location_lng,characteristics_bedrooms,characteristics_bathrooms,characteristics_garages,characteristics_area,description,url,district_id,district_name,neighborhood_id,neighborhood_name,extras_Construido,extras_Terreno,extras_Estado,extras_Año construcción,extras_Churrasqueras,extras_Comedor de Diario,extras_Dependencias de Servicio,extras_Jardín,extras_Entrega,extras_Aire Acondicionado,extras_Calefacción,extras_Baulera,extras_Gas Natural,extras_Condominio Cerrado,extras_Club House,extras_Piscina,extras_Sala de Juegos,extras_Gimnasio,extras_Preparada adultos mayores,extras_Preparada para accesibilidad,extras_Amoblado,extras_Monoambiente,extras_Gastos Comunes,extras_Parqueo,extras_Seguridad - Sistema,extras_Estacionamiento,extras_Cocina,extras_Sauna,extras_Casa,extras_Norte,extras_Gas,extras_Zona Tranquila,extras_Este,extras_Residencial,extras_A estrenar,extras_Agua potable,extras_Area Escolar,extras_Casa de Campo,extras_Cerca de Autopista,extras_Hospital cercano,extras_Terraza,extras_Aire Acondicionado Central,extras_Sureste,extras_Alcantarillado,extras_Cable,extras_Cámara de seguridad,extras_Electricidad,extras_Tanque de Agua,extras_Cerca de Avenida,extras_Iglesia cerca,extras_Plaza cerca,extras_Zona Concurrida,extras_Zona Turística,extras_Lavandería (en depto.),extras_Medidor de Agua Individual,extras_Cerca de Aeropuerto,extras_Comercios cercanos,extras_Gimnasio cercano,extras_Lavandería (en edificio),extras_Techo Plano,extras_Fumar está permitido,extras_Galpón,extras_Hall de Entrada,extras_Ceramica,extras_Ladrillo,extras_Madera,extras_Piedra,extras_Textura,extras_Yeso,extras_Acceso a Internet de alta velocidad (fibra óptica),extras_Salida Emergencia Disponible,extras_Sur,extras_Acceso silla de ruedas,extras_Seguridad - Vigilancia,extras_Electric Vehicle Charge Station,extras_Medidor de Gas Individual,extras_Sin calefacción,extras_Todo electrico,extras_Cerca a Campo de Golf,extras_Baño de Servicio,extras_Edificio Antiguo,extras_Noreste,extras_Balcón,extras_Balcón Terraza,extras_Sistema de Seguridad,extras_Vestidor,extras_Servicio de conserjería,extras_Estación de tren cerca,extras_Sistema de Alarma,extras_Conserje disponible,extras_Cuarto de Juegos,extras_Paneles Solares,extras_Paneles Externos,extras_Tableta,extras_Garage con Puerta Automática,extras_Gimnasio de deportes,extras_Generador Eléctrico,extras_Portero Eléctrico,extras_Generador Eléctrico de Emergencia,extras_Ascensor,extras_Noroeste,extras_Suroeste,extras_Centro Histórico,extras_Estufa a gas,extras_Frente al Lago,extras_TCP/IP,extras_Oeste,extras_Edificio Nuevo,extras_Salida Emergencia,extras_Establo,extras_Estufa de calentamiento,extras_Jacuzzi,extras_Communal Pool,extras_Dispositivo de intercomunicación con monitor de televisión
66e25f564a4b73fa90734c3a,Equipetrol 3er anillo externo y C. Los Pinos,690000,USD,Equipetrol 3er anillo externo y C. Los Pinos,Santa Cruz de la Sierra,Santa Cruz,-17.761246,-63.180355,3,2,5,356,EN VENTA ZONA NORTE A PASOS DE LA AV BANZER,https://www.ultracasas.com/inmueble/casa-en-venta-entre-2do-y-3er-anillo-norte-santa-cruz-de-la-sierra-1031549,66dcbd22a46589def182f7da,Distrito Municipal 1,66dcc6bc3840614c09d0df24,BARRIO EQUIPETROL,356,835,USADO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66e25f564a4b73fa90734c3b,CASA MODERNA Y SEGURA EN CONDOMINIO CERRADO ENTRE 4TO Y 5TO ANILLO - ZONA NORTE,159000,USD,CASA MODERNA Y SEGURA EN CONDOMINIO CERRADO ENTRE 4TO Y 5TO ANILLO - ZONA NORTE,Santa Cruz de la Sierra,Santa Cruz,-17.770008,-63.147896,3,4,2,150,EN 4TO ANILLO PARAGUÁ  EN VENTA HERMOSA CASA DE 2 PLANTAS DE 3 DORM (1 SUITE)  SALA DE TV  GALERÍA  DEPENDENCIA  CHURRASQUERA  2 PARQUEOS EN $us 159000,https://www.ultracasas.com/inmueble/casa-en-venta-entre-4to-y-5to-anillo-norte-santa-cruz-de-la-sierra-620703,66dcbd22a46589def182f7db,Distrito 2,66dcc6bf3840614c09d0df30,Barrio Chino,150,150,USADO,2011,true,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66e25f564a4b73fa90734c3c,CASA EN VENTA CONDOMINIO LOMAS DEL URUBO SUR,145000,USD,CASA EN VENTA CONDOMINIO LOMAS DEL URUBO SUR,Santa Cruz de la Sierra,Santa Cruz,-17.804373,-63.222717,3,3,2,145,Vivienda Unifamiliar Sustentable en PREVENTA:,https://www.ultracasas.com/inmueble/casa-en-venta-entre-4to-y-5to-anillo-oeste-santa-cruz-de-la-sierra-895426,,,,,145,175,NUEVO,2021,true,true,,true,Septiembre 2021,true,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66e25f574a4b73fa90734c3d,URB. LOS PINTORES CONDOMINIO MONET CASA EN VENTA,128000,USD,URB. LOS PINTORES CONDOMINIO MONET CASA EN VENTA,Santa Cruz de la Sierra,Santa Cruz,-17.698109,-63.173702,5,3,2,192,Última Casa Disponible!,https://www.ultracasas.com/inmueble/casa-en-venta-carretera-norte-zona-norte-km-santa-cruz-de-la-sierra-962053,66dcbd22a46589def182f7de,Distrito 5,66dcc6c33840614c09d0df3d,Barrio Santa Isabel.,192,154,NUEVO,2022,true,,,true,,,,,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66e25f574a4b73fa90734c3e,CASA EN VENTA EN EL CONDOMINIO LA HACIENDA DEL URUBO,1600000,USD,CASA EN VENTA EN EL CONDOMINIO LA HACIENDA DEL URUBO,Santa Cruz de la Sierra,Santa Cruz,-17.742605,-63.216534,7,7,8,1081,Casa en Venta Colinas del Urubo sector 2,https://www.ultracasas.com/inmueble/casa-en-venta-colinas-del-urubo-colinas-del-santa-cruz-de-la-sierra-1032151,,,,,1081,1807,USADO,2010,true,true,true,true,,true,true,true,true,true,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66e25f584a4b73fa90734c3f,CASA MODERNA Y SEGURA EN CONDOMINIO CERRADO ENTRE 4TO Y 5TO ANILLO - ZONA NORTE,165000,USD,CASA MODERNA Y SEGURA EN CONDOMINIO CERRADO ENTRE 4TO Y 5TO ANILLO - ZONA NORTE,Santa Cruz de la Sierra,Santa Cruz,-17.749405,-63.234207,3,4,2,220,"𝗖𝗔𝗦𝗔 𝗔 𝗘𝗦𝗧𝗥𝗘𝗡𝗔𝗥 𝗘𝗡 𝗘𝗟 𝗨𝗥𝗨𝗕𝗢‼️ ✅️ 𝟯 𝗵𝗮𝗯𝗶𝘁𝗮𝗰𝗶𝗼𝗻𝗲𝘀 (1 en Suite y 2 habitaciones) 2 Garajes, Cocina Amoblada y Equipada, Amplio LivingComedor, Baño de Visitas, Gradas Flotantes, Jardín Interno, Galería, Churrasquera, Dependencia de Servicio ✅️ EQUIPAMIENTOS: ● AIRES ACONDICIONADOS en todos los ambientes ● Muebles de Cocina ● Cocina Encimera ● Extractor de Humo ● Lámparas con Bluetooth ● Luces Led ● Muebles en Vestidor y Closets ● Piso de Porcelanato ● Portón Automático",https://www.ultracasas.com/inmueble/casa-en-venta-urubo-urubo-santa-cruz-de-la-sierra-1028434,,,,,220,230,NUEVO,2024,true,true,true,true,,true,true,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66e25f584a4b73fa90734c40,A PASOS DE LA AV. BANZER,630000,USD,A PASOS DE LA AV. BANZER,Santa Cruz de la Sierra,Santa Cruz,-17.7502,-63.221138,4,7,4,640,Hermosa Casa amoblada (Dekorato) en venta,https://www.ultracasas.com/inmueble/casa-en-venta-urubo-en-venta-casa-colinas-santa-cruz-de-la-sierra-1024045,,,,,640,867,USADO,,true,true,,true,,true,true,,true,true,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66e25f584a4b73fa90734c41,Urubo,242950,USD,Urubo,Santa Cruz de la Sierra,Santa Cruz,-17.776133,-63.2509,3,3,2,231,EN VENTA HERMOSA CASA DE DOS PLANTAS,https://www.ultracasas.com/inmueble/casa-en-venta-urubo-condominio-santa-cruz-santa-cruz-de-la-sierra-1024573,,,,,231,426,USADO,2015,true,,true,true,,true,,,true,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66e25f594a4b73fa90734c42,"Avenida Pirai entre 3er y 4to anillo, Zona Mercado Abasto",280000,USD,"Avenida Pirai entre 3er y 4to anillo, Zona Mercado Abasto",Santa Cruz de la Sierra,Santa Cruz,-17.802959,-63.183067,5,5,3,387,"HERMOSA CASA DE 5 DORMITORIOS ,AS 1 ESCRITORIO CON 3 PISOS Y TERRAZA ZONA SUR A2 CUADRAS DE SANTOS DUMONT",https://www.ultracasas.com/inmueble/casa-en-venta-entre-2do-y-3er-anillo-sur-23-santa-cruz-de-la-sierra-1031868,66dcbd22a46589def182f7dd,Distrito Municipal 4Â ,66dcc6bd3840614c09d0df29,Barrio Aeronautico,387,280,USADO,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66e25f594a4b73fa90734c43,CASA MODERNA Y SEGURA EN CONDOMINIO CERRADO ENTRE 4TO Y 5TO ANILLO - ZONA NORTE,160000,USD,CASA MODERNA Y SEGURA EN CONDOMINIO CERRADO ENTRE 4TO Y 5TO ANILLO - ZONA NORTE,Santa Cruz de la Sierra,Santa Cruz,-17.703842,-63.168728,5,4,2,266,𝐂𝐨𝐧𝐝𝐨𝐦𝐢𝐧𝐢𝐨 𝐕𝐚𝐥𝐥𝐞 𝐍𝐎𝐑𝐓𝐄 𝟐,https://www.ultracasas.com/inmueble/casa-en-venta-carretera-norte-condominio-santa-cruz-de-la-sierra-1022735,66dcbd22a46589def182f7de,Distrito 5,66dcc6c33840614c09d0df3d,Barrio Santa Isabel.,266,266,NUEVO,2022,true,true,true,true,,true,,,true,true,true,true,true,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
