,characteristics_bedrooms,characteristics_bathrooms,characteristics_garages,characteristics_area,location_lat,location_lng,price,neighborhood_name,district_name,extras_Terreno,price_per_m2,rooms_per_area
0,3,2,5,356.0,-17.761246,-63.180355,690000.0,BARRIO EQUIPETROL,Distrito Municipal 1,835.0,1938.2022471910113,297260.0
1,3,4,2,150.0,-17.770008,-63.147896,159000.0,Barrio Chino,Distrito 2,150.0,1060.0,22500.0
2,3,3,2,145.0,-17.804373,-63.222717,145000.0,Desconocido,Desconocido,175.0,1000.0,25375.0
3,5,3,2,192.0,-17.698109,-63.173702,128000.0,Barrio Santa Isabel.,Distrito 5,154.0,666.6666666666666,29568.0
5,3,4,2,220.0,-17.749405,-63.234207,165000.0,Desconocido,Desconocido,230.0,750.0,50600.0
6,4,7,4,640.0,-17.7502,-63.221138,630000.0,Desconocido,Desconocido,867.0,984.375,554880.0
7,3,3,2,231.0,-17.776133,-63.2509,242950.0,Desconocido,Desconocido,426.0,1051.7316017316018,98406.0
8,5,5,3,387.0,-17.802959,-63.183067,280000.0,Barrio Aeronautico,Distrito Municipal 4Â ,280.0,723.5142118863049,108360.0
9,5,4,2,266.0,-17.703842,-63.168728,160000.0,Barrio Santa Isabel.,Distrito 5,266.0,601.5037593984962,70756.0
10,3,3,2,160.0,-17.809067,-63.22929,158000.0,Desconocido,Desconocido,170.0,987.5,27200.0
11,5,6,2,438.0,-17.774204,-63.227993,495000.0,Desconocido,Desconocido,700.0,1130.13698630137,306600.0
12,6,2,2,400.0,-17.76453,-63.07288,290000.0,Desconocido,Desconocido,387.0,725.0,154800.0
13,3,3,2,194.0,-17.807756,-63.219845,180000.0,Desconocido,Desconocido,130.0,927.8350515463917,25220.0
14,4,5,4,300.0,-17.715044,-63.159649,375000.0,Barrio Santa Isabel.,Distrito 5,464.0,1250.0,139200.0
15,5,5,3,364.0,-17.754295,-63.18066,290000.0,Barrio el Manchon,Distrito Municipal 1,347.0,796.7032967032967,126308.0
18,3,3,1,148.65,-17.763136,-63.106064,98000.0,Barrio La Purisima,Distrito 6,240.0,659.2667339387823,35676.0
22,7,5,3,710.0,-17.769133,-63.17086,490000.0,Barrio Chino,Distrito 2,594.0,690.1408450704225,421740.0
23,4,3,2,184.0,-17.703732,-63.168705,213600.0,Barrio Santa Isabel.,Distrito 5,238.0,1160.8695652173913,43792.0
24,4,4,4,415.0,-17.755156,-63.245052,259000.0,Desconocido,Desconocido,436.0,624.0963855421687,180940.0
27,4,3,2,220.0,-17.648388,-63.181431,79500.0,Desconocido,Desconocido,255.0,361.3636363636364,56100.0
28,3,4,2,190.0,-17.805178,-63.214722,150000.0,Desconocido,Desconocido,204.0,789.4736842105264,38760.0
29,4,4,2,197.0,-17.762993,-63.223434,220000.0,Desconocido,Desconocido,214.0,1116.751269035533,42158.0
30,5,4,2,196.0,-17.699272,-63.180733,128000.0,Barrio Santa Isabel.,Distrito 5,160.0,653.0612244897959,31360.0
31,4,4,2,385.0,-17.769739,-63.158424,275000.0,Barrio Chino,Distrito 2,320.0,714.2857142857143,123200.0
32,3,2,2,110.0,-17.631008,-63.164837,65000.0,Desconocido,Desconocido,204.0,590.9090909090909,22440.0
